,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,RA_base,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,7,7,0,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
1,7,7,1,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
2,7,7,2,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
3,7,7,3,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
4,7,7,4,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
5,7,7,5,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
6,7,7,6,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
7,7,7,7,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
8,7,7,8,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
9,7,7,9,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
10,7,7,10,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
11,7,7,11,SingleRun,24,12,0.04,0.2,0.75,936,64,0,0,0.0,0,0,0,0
12,7,7,12,SingleRun,24,12,0.04,0.2,0.75,897,103,0,0,0.0,0,0,0,0
13,7,7,13,SingleRun,24,12,0.04,0.2,0.75,406,588,6,0,0.0,0,0,0,0
14,7,7,14,SingleRun,24,12,0.04,0.2,0.75,198,762,40,0,0.0,0,0,0,0
15,7,7,15,SingleRun,24,12,0.04,0.2,0.75,142,794,64,0,0.0,0,0,0,0
16,7,7,16,SingleRun,24,12,0.04,0.2,0.75,125,808,67,1,0.0,0,0,0,1
17,7,7,17,SingleRun,24,12,0.04,0.2,0.75,121,810,68,0,0.0,0,0,0,1
18,7,7,18,SingleRun,24,12,0.04,0.2,0.75,119,811,69,0,0.0,0,0,0,1
19,7,7,19,SingleRun,24,12,0.04,0.2,0.75,114,809,76,3,0.0,1,1,1,1
20,7,7,20,SingleRun,24,12,0.04,0.2,0.75,56,835,105,10,0.0,3,5,4,2
21,7,7,21,SingleRun,24,12,0.04,0.2,0.75,32,823,131,12,0.0,7,11,5,3
22,7,7,22,SingleRun,24,12,0.04,0.2,0.75,20,792,162,22,0.0,13,24,5,6
23,7,7,23,SingleRun,24,12,0.04,0.2,0.75,15,785,152,10,0.0,17,28,7,6
24,7,7,24,SingleRun,24,12,0.04,0.2,0.75,13,779,150,18,0.0,22,36,10,8
25,7,7,25,SingleRun,24,12,0.04,0.2,0.75,6,706,212,22,0.0,29,41,14,14
26,7,7,26,SingleRun,24,12,0.04,0.2,0.75,3,672,227,20,0.0,38,49,16,15
27,7,7,27,SingleRun,24,12,0.04,0.2,0.75,3,665,214,16,0.0,45,56,16,17
28,7,7,28,SingleRun,24,12,0.04,0.2,0.75,3,659,204,24,0.0,51,70,17,20
29,7,7,29,SingleRun,24,12,0.04,0.2,0.75,3,659,180,15,0.0,54,78,18,23
30,7,7,30,SingleRun,24,12,0.04,0.2,0.75,3,659,165,17,0.0,58,84,20,28
31,7,7,31,SingleRun,24,12,0.04,0.2,0.75,3,658,149,15,0.0,59,92,24,30
32,7,7,32,SingleRun,24,12,0.04,0.2,0.75,3,658,134,8,0.0,63,95,24,31
33,7,7,33,SingleRun,24,12,0.04,0.2,0.75,3,657,127,15,0.0,66,102,24,36
34,7,7,34,SingleRun,24,12,0.04,0.2,0.75,3,654,115,13,0.0,68,112,24,37
35,7,7,35,SingleRun,24,12,0.04,0.2,0.75,3,653,103,7,0.0,73,112,24,39
36,7,7,36,SingleRun,24,12,0.04,0.2,0.75,3,640,109,18,0.0,79,120,25,42
37,7,7,37,SingleRun,24,12,0.04,0.2,0.75,1,629,104,11,0.0,82,125,26,44
38,7,7,38,SingleRun,24,12,0.04,0.2,0.75,1,621,101,4,0.0,82,128,27,44
39,7,7,39,SingleRun,24,12,0.04,0.2,0.75,1,621,97,6,0.0,83,131,28,45
40,7,7,40,SingleRun,24,12,0.04,0.2,0.75,1,620,92,14,0.0,86,138,28,49
41,7,7,41,SingleRun,24,12,0.04,0.2,0.75,1,619,79,11,0.0,89,144,28,51
42,7,7,42,SingleRun,24,12,0.04,0.2,0.75,1,619,68,8,0.0,93,147,29,51
43,7,7,43,SingleRun,24,12,0.04,0.2,0.75,0,592,88,7,0.0,95,148,29,55
44,7,7,44,SingleRun,24,12,0.04,0.2,0.75,0,590,83,5,0.0,96,150,29,57
45,7,7,45,SingleRun,24,12,0.04,0.2,0.75,0,584,84,10,0.0,101,153,29,59
46,7,7,46,SingleRun,24,12,0.04,0.2,0.75,0,572,86,6,0.0,104,155,29,60
47,7,7,47,SingleRun,24,12,0.04,0.2,0.75,0,525,127,16,0.0,111,160,29,64
48,7,7,48,SingleRun,24,12,0.04,0.2,0.75,0,508,128,18,0.0,112,169,30,71
49,7,7,49,SingleRun,24,12,0.04,0.2,0.75,0,358,260,38,0.0,122,183,32,83
50,7,7,50,SingleRun,24,12,0.04,0.2,0.75,0,349,231,58,0.0,145,200,35,98
51,7,7,51,SingleRun,24,12,0.04,0.2,0.75,0,348,174,39,0.0,156,221,35,105
52,7,7,52,SingleRun,24,12,0.04,0.2,0.75,0,348,135,39,0.0,161,243,37,115
53,7,7,53,SingleRun,24,12,0.04,0.2,0.75,0,348,96,19,0.0,169,250,39,117
54,7,7,54,SingleRun,24,12,0.04,0.2,0.75,0,348,77,20,0.0,174,257,41,123
55,7,7,55,SingleRun,24,12,0.04,0.2,0.75,0,348,57,8,0.0,177,259,41,126
56,7,7,56,SingleRun,24,12,0.04,0.2,0.75,0,348,49,16,0.0,181,266,43,129
57,7,7,57,SingleRun,24,12,0.04,0.2,0.75,0,347,34,5,0.0,183,267,43,131
58,7,7,58,SingleRun,24,12,0.04,0.2,0.75,0,346,30,4,0.0,184,269,43,132
