,RunId,iteration,Step,outcome_collection,ceiling,grow_factor,media_weight_trust,media_weight_perc,phase_change_factor,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,5,5,0,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
1,5,5,1,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
2,5,5,2,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
3,5,5,3,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
4,5,5,4,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
5,5,5,5,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
6,5,5,6,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
7,5,5,7,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
8,5,5,8,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
9,5,5,9,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
10,5,5,10,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
11,5,5,11,SingleRun,0.4,30,0.04,0.2,0.1,938,62,0,0,0.0,0,0,0,0
12,5,5,12,SingleRun,0.4,30,0.04,0.2,0.1,902,94,4,0,0.0,0,0,0,0
13,5,5,13,SingleRun,0.4,30,0.04,0.2,0.1,459,516,25,0,0.0,0,0,0,0
14,5,5,14,SingleRun,0.4,30,0.04,0.2,0.1,252,625,123,0,0.0,0,0,0,0
15,5,5,15,SingleRun,0.4,30,0.04,0.2,0.1,193,570,237,0,0.0,0,0,0,0
16,5,5,16,SingleRun,0.4,30,0.04,0.2,0.1,173,552,275,3,0.0,1,1,1,0
17,5,5,17,SingleRun,0.4,30,0.04,0.2,0.1,160,554,283,2,0.0,2,2,1,0
18,5,5,18,SingleRun,0.4,30,0.04,0.2,0.1,154,547,294,1,0.0,2,3,1,0
19,5,5,19,SingleRun,0.4,30,0.04,0.2,0.1,147,536,311,1,0.0,2,4,1,0
20,5,5,20,SingleRun,0.4,30,0.04,0.2,0.1,145,536,312,3,0.0,2,5,2,1
21,5,5,21,SingleRun,0.4,30,0.04,0.2,0.1,138,527,325,1,0.0,3,5,2,1
22,5,5,22,SingleRun,0.4,30,0.04,0.2,0.1,134,523,332,1,0.0,3,6,2,1
23,5,5,23,SingleRun,0.4,30,0.04,0.2,0.1,120,525,343,0,0.0,3,6,2,1
24,5,5,24,SingleRun,0.4,30,0.04,0.2,0.1,105,529,354,3,0.0,4,6,3,2
25,5,5,25,SingleRun,0.4,30,0.04,0.2,0.1,26,536,423,3,0.0,4,8,4,2
26,5,5,26,SingleRun,0.4,30,0.04,0.2,0.1,13,463,506,2,0.0,5,9,4,2
27,5,5,27,SingleRun,0.4,30,0.04,0.2,0.1,13,443,524,7,0.0,6,13,4,4
28,5,5,28,SingleRun,0.4,30,0.04,0.2,0.1,12,427,534,7,0.0,9,16,5,4
29,5,5,29,SingleRun,0.4,30,0.04,0.2,0.1,11,421,534,3,0.0,10,17,5,5
30,5,5,30,SingleRun,0.4,30,0.04,0.2,0.1,11,419,533,10,0.0,12,20,5,10
31,5,5,31,SingleRun,0.4,30,0.04,0.2,0.1,11,414,528,9,0.0,17,22,5,12
32,5,5,32,SingleRun,0.4,30,0.04,0.2,0.1,11,414,519,10,0.0,19,28,5,14
33,5,5,33,SingleRun,0.4,30,0.04,0.2,0.1,11,411,512,16,0.0,23,35,5,19
34,5,5,34,SingleRun,0.4,30,0.04,0.2,0.1,9,395,514,4,0.0,24,37,5,20
35,5,5,35,SingleRun,0.4,30,0.04,0.2,0.1,8,389,517,12,0.0,27,41,6,24
36,5,5,36,SingleRun,0.4,30,0.04,0.2,0.1,5,364,533,13,0.0,30,48,7,26
37,5,5,37,SingleRun,0.4,30,0.04,0.2,0.1,3,340,546,4,0.0,31,49,7,28
38,5,5,38,SingleRun,0.4,30,0.04,0.2,0.1,3,332,550,13,0.0,36,54,7,31
39,5,5,39,SingleRun,0.4,30,0.04,0.2,0.1,3,331,538,14,0.0,38,60,9,35
40,5,5,40,SingleRun,0.4,30,0.04,0.2,0.1,3,331,524,7,0.0,39,64,9,37
41,5,5,41,SingleRun,0.4,30,0.04,0.2,0.1,3,331,517,9,0.0,43,66,11,38
42,5,5,42,SingleRun,0.4,30,0.04,0.2,0.1,3,331,508,12,0.0,47,70,12,41
43,5,5,43,SingleRun,0.4,30,0.04,0.2,0.1,2,312,516,14,0.0,51,78,12,43
44,5,5,44,SingleRun,0.4,30,0.04,0.2,0.1,2,310,504,15,0.0,53,85,13,48
45,5,5,45,SingleRun,0.4,30,0.04,0.2,0.1,1,306,494,20,0.0,58,96,15,50
46,5,5,46,SingleRun,0.4,30,0.04,0.2,0.1,1,292,488,20,0.0,61,107,17,54
47,5,5,47,SingleRun,0.4,30,0.04,0.2,0.1,0,247,514,24,0.0,69,117,18,59
48,5,5,48,SingleRun,0.4,30,0.04,0.2,0.1,0,227,510,27,0.0,79,126,20,65
49,5,5,49,SingleRun,0.4,30,0.04,0.2,0.1,0,213,497,26,0.0,93,130,22,71
50,5,5,50,SingleRun,0.4,30,0.04,0.2,0.1,0,213,471,28,0.0,100,142,25,77
51,5,5,51,SingleRun,0.4,30,0.04,0.2,0.1,0,213,443,17,0.0,103,150,29,79
52,5,5,52,SingleRun,0.4,30,0.04,0.2,0.1,0,213,426,16,0.0,106,162,29,80
53,5,5,53,SingleRun,0.4,30,0.04,0.2,0.1,0,213,410,33,0.0,117,173,31,89
54,5,5,54,SingleRun,0.4,30,0.04,0.2,0.1,0,213,377,33,0.0,130,190,33,90
55,5,5,55,SingleRun,0.4,30,0.04,0.2,0.1,0,207,350,55,0.0,145,213,36,104
56,5,5,56,SingleRun,0.4,30,0.04,0.2,0.1,0,184,318,49,0.0,164,231,38,114
57,5,5,57,SingleRun,0.4,30,0.04,0.2,0.1,0,176,277,37,0.0,183,243,41,117
58,5,5,58,SingleRun,0.4,30,0.04,0.2,0.1,0,159,257,41,0.0,196,256,43,130
59,5,5,59,SingleRun,0.4,30,0.04,0.2,0.1,0,158,217,35,0.0,204,271,46,139
60,5,5,60,SingleRun,0.4,30,0.04,0.2,0.1,0,157,183,35,0.0,217,286,49,143
61,5,5,61,SingleRun,0.4,30,0.04,0.2,0.1,0,104,201,41,0.0,231,298,51,156
62,5,5,62,SingleRun,0.4,30,0.04,0.2,0.1,0,100,164,30,0.0,244,305,53,164
63,5,5,63,SingleRun,0.4,30,0.04,0.2,0.1,0,99,135,19,0.0,246,311,55,173
64,5,5,64,SingleRun,0.4,30,0.04,0.2,0.1,0,99,116,27,0.0,251,325,57,179
65,5,5,65,SingleRun,0.4,30,0.04,0.2,0.1,0,99,89,17,0.0,257,331,60,181
66,5,5,66,SingleRun,0.4,30,0.04,0.2,0.1,0,99,72,13,0.0,259,337,61,185
67,5,5,67,SingleRun,0.4,30,0.04,0.2,0.1,0,99,59,14,0.0,263,339,63,191
68,5,5,68,SingleRun,0.4,30,0.04,0.2,0.1,0,97,47,6,0.0,264,343,63,192
69,5,5,69,SingleRun,0.4,30,0.04,0.2,0.1,0,97,41,8,0.0,266,348,64,192
70,5,5,70,SingleRun,0.4,30,0.04,0.2,0.1,0,97,33,10,0.0,272,351,64,193
71,5,5,71,SingleRun,0.4,30,0.04,0.2,0.1,0,97,23,2,0.0,273,352,64,193
72,5,5,72,SingleRun,0.4,30,0.04,0.2,0.1,0,97,21,5,0.0,274,353,64,196
73,5,5,73,SingleRun,0.4,30,0.04,0.2,0.1,0,97,16,3,0.0,275,353,64,198
74,5,5,74,SingleRun,0.4,30,0.04,0.2,0.1,0,97,13,4,0.0,276,355,64,199
75,5,5,75,SingleRun,0.4,30,0.04,0.2,0.1,0,97,9,2,0.0,276,355,65,200
76,5,5,76,SingleRun,0.4,30,0.04,0.2,0.1,0,97,7,1,0.0,276,356,65,200
77,5,5,77,SingleRun,0.4,30,0.04,0.2,0.1,0,88,15,4,0.0,279,357,65,200
78,5,5,78,SingleRun,0.4,30,0.04,0.2,0.1,0,88,11,4,0.0,281,358,65,201
79,5,5,79,SingleRun,0.4,30,0.04,0.2,0.1,0,79,16,4,0.0,282,361,65,201
80,5,5,80,SingleRun,0.4,30,0.04,0.2,0.1,0,54,37,15,0.0,286,368,65,205
81,5,5,81,SingleRun,0.4,30,0.04,0.2,0.1,0,54,22,7,0.0,290,369,65,207
82,5,5,82,SingleRun,0.4,30,0.04,0.2,0.1,0,54,15,5,0.0,290,372,65,209
83,5,5,83,SingleRun,0.4,30,0.04,0.2,0.1,0,54,10,8,0.0,291,375,65,213
84,5,5,84,SingleRun,0.4,30,0.04,0.2,0.1,0,54,2,2,0.0,291,376,65,214
85,5,5,85,SingleRun,0.4,30,0.04,0.2,0.1,0,54,0,0,0.0,291,376,65,214
86,5,5,86,SingleRun,0.4,30,0.04,0.2,0.1,0,54,0,0,0.0,291,376,65,214
87,5,5,87,SingleRun,0.4,30,0.04,0.2,0.1,0,54,0,0,54.436575052854124,291,376,65,214
88,7,7,0,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
89,7,7,1,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
90,7,7,2,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
91,7,7,3,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
92,7,7,4,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
93,7,7,5,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
94,7,7,6,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
95,7,7,7,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
96,7,7,8,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
97,7,7,9,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
98,7,7,10,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
99,7,7,11,SingleRun,0.4,30,0.04,0.2,0.1,921,79,0,0,0.0,0,0,0,0
100,7,7,12,SingleRun,0.4,30,0.04,0.2,0.1,868,122,10,0,0.0,0,0,0,0
101,7,7,13,SingleRun,0.4,30,0.04,0.2,0.1,400,566,34,0,0.0,0,0,0,0
102,7,7,14,SingleRun,0.4,30,0.04,0.2,0.1,177,640,183,0,0.0,0,0,0,0
103,7,7,15,SingleRun,0.4,30,0.04,0.2,0.1,124,557,319,3,0.0,2,1,0,0
104,7,7,16,SingleRun,0.4,30,0.04,0.2,0.1,119,536,342,0,0.0,2,1,0,0
105,7,7,17,SingleRun,0.4,30,0.04,0.2,0.1,117,531,349,0,0.0,2,1,0,0
106,7,7,18,SingleRun,0.4,30,0.04,0.2,0.1,117,526,354,1,0.0,2,1,0,1
107,7,7,19,SingleRun,0.4,30,0.04,0.2,0.1,111,520,365,3,0.0,4,2,0,1
108,7,7,20,SingleRun,0.4,30,0.04,0.2,0.1,109,519,365,3,0.0,4,5,0,1
109,7,7,21,SingleRun,0.4,30,0.04,0.2,0.1,97,506,387,2,0.0,5,6,0,1
110,7,7,22,SingleRun,0.4,30,0.04,0.2,0.1,93,502,393,3,0.0,5,9,0,1
111,7,7,23,SingleRun,0.4,30,0.04,0.2,0.1,88,497,400,1,0.0,5,9,0,2
112,7,7,24,SingleRun,0.4,30,0.04,0.2,0.1,85,491,408,4,0.0,6,10,1,3
