,RunId,iteration,Step,outcome_collection,RA_base,ceiling,grow_factor,media_weight_trust,media_weight_perc,phase_change_factor,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,2,2,0,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
1,2,2,1,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
2,2,2,2,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
3,2,2,3,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
4,2,2,4,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
5,2,2,5,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
6,2,2,6,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
7,2,2,7,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
8,2,2,8,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
9,2,2,9,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
10,2,2,10,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
11,2,2,11,SingleRun,0.75,0.4,30,0.04,0.2,0.1,959,41,0,0,0.0,0,0,0,0
12,2,2,12,SingleRun,0.75,0.4,30,0.04,0.2,0.1,948,52,0,0,0.0,0,0,0,0
13,2,2,13,SingleRun,0.75,0.4,30,0.04,0.2,0.1,607,390,3,0,0.0,0,0,0,0
14,2,2,14,SingleRun,0.75,0.4,30,0.04,0.2,0.1,317,661,22,0,0.0,0,0,0,0
15,2,2,15,SingleRun,0.75,0.4,30,0.04,0.2,0.1,194,740,66,0,0.0,0,0,0,0
16,2,2,16,SingleRun,0.75,0.4,30,0.04,0.2,0.1,161,760,79,1,0.0,0,1,0,0
17,2,2,17,SingleRun,0.75,0.4,30,0.04,0.2,0.1,145,770,84,0,0.0,0,1,0,0
18,2,2,18,SingleRun,0.75,0.4,30,0.04,0.2,0.1,140,771,88,1,0.0,1,1,0,0
19,2,2,19,SingleRun,0.75,0.4,30,0.04,0.2,0.1,129,779,90,1,0.0,2,1,0,0
20,2,2,20,SingleRun,0.75,0.4,30,0.04,0.2,0.1,123,783,91,0,0.0,2,1,0,0
21,2,2,21,SingleRun,0.75,0.4,30,0.04,0.2,0.1,112,784,101,0,0.0,2,1,0,0
22,2,2,22,SingleRun,0.75,0.4,30,0.04,0.2,0.1,111,785,101,0,0.0,2,1,0,0
23,2,2,23,SingleRun,0.75,0.4,30,0.04,0.2,0.1,99,789,109,1,0.0,3,1,0,0
24,2,2,24,SingleRun,0.75,0.4,30,0.04,0.2,0.1,92,792,112,0,0.0,3,1,0,0
25,2,2,25,SingleRun,0.75,0.4,30,0.04,0.2,0.1,25,801,170,3,0.0,4,2,0,1
26,2,2,26,SingleRun,0.75,0.4,30,0.04,0.2,0.1,15,771,207,4,0.0,6,4,0,1
27,2,2,27,SingleRun,0.75,0.4,30,0.04,0.2,0.1,14,769,206,0,0.0,6,4,0,1
28,2,2,28,SingleRun,0.75,0.4,30,0.04,0.2,0.1,14,761,214,3,0.0,7,6,0,1
29,2,2,29,SingleRun,0.75,0.4,30,0.04,0.2,0.1,13,760,213,3,0.0,8,8,0,1
30,2,2,30,SingleRun,0.75,0.4,30,0.04,0.2,0.1,13,760,210,1,0.0,9,8,0,1
31,2,2,31,SingleRun,0.75,0.4,30,0.04,0.2,0.1,12,759,211,2,0.0,9,9,0,2
32,2,2,32,SingleRun,0.75,0.4,30,0.04,0.2,0.1,12,759,209,7,0.0,11,14,0,2
33,2,2,33,SingleRun,0.75,0.4,30,0.04,0.2,0.1,12,758,203,2,0.0,11,15,0,3
34,2,2,34,SingleRun,0.75,0.4,30,0.04,0.2,0.1,9,745,217,2,0.0,12,16,0,3
35,2,2,35,SingleRun,0.75,0.4,30,0.04,0.2,0.1,8,745,216,4,0.0,12,19,1,3
36,2,2,36,SingleRun,0.75,0.4,30,0.04,0.2,0.1,7,734,224,1,0.0,12,20,1,3
37,2,2,37,SingleRun,0.75,0.4,30,0.04,0.2,0.1,4,723,237,1,0.0,13,20,1,3
38,2,2,38,SingleRun,0.75,0.4,30,0.04,0.2,0.1,3,720,240,2,0.0,13,21,2,3
39,2,2,39,SingleRun,0.75,0.4,30,0.04,0.2,0.1,3,719,239,6,0.0,14,22,3,6
40,2,2,40,SingleRun,0.75,0.4,30,0.04,0.2,0.1,3,717,235,5,0.0,15,24,3,8
41,2,2,41,SingleRun,0.75,0.4,30,0.04,0.2,0.1,3,717,230,4,0.0,17,25,3,9
42,2,2,42,SingleRun,0.75,0.4,30,0.04,0.2,0.1,3,717,226,5,0.0,19,27,4,9
43,2,2,43,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,695,244,5,0.0,19,29,4,12
44,2,2,44,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,689,245,4,0.0,19,31,6,12
45,2,2,45,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,679,251,6,0.0,22,34,6,12
46,2,2,46,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,670,254,9,0.0,26,38,7,12
47,2,2,47,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,628,287,3,0.0,27,40,7,12
48,2,2,48,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,614,299,9,0.0,30,45,7,13
49,2,2,49,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,595,309,9,0.0,34,47,8,15
50,2,2,50,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,593,302,11,0.0,35,53,8,19
51,2,2,51,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,593,291,9,0.0,37,58,9,20
52,2,2,52,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,593,282,12,0.0,40,62,10,24
53,2,2,53,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,593,270,11,0.0,44,65,12,26
54,2,2,54,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,593,259,17,0.0,50,71,14,29
55,2,2,55,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,587,248,17,0.0,55,77,16,33
56,2,2,56,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,565,254,38,0.0,65,94,19,41
57,2,2,57,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,554,227,25,0.0,72,107,21,44
58,2,2,58,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,523,233,43,0.0,85,123,22,57
59,2,2,59,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,518,195,19,0.0,92,130,22,62
60,2,2,60,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,513,181,26,0.0,98,141,24,69
61,2,2,61,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,414,254,58,0.0,119,166,29,76
62,2,2,62,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,406,204,41,0.0,127,183,33,88
