,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,MD9,MD10
0,6,6,6,6,100,0.5,0.5,0.5,0.5,0.5
1,2,2,2,3,12,0.75,1.0,0.5,0.75,0.75
2,2,6,2,3,3,1.0,1.0,1.0,1.0,1.0
3,3,12,2,3,12,1.0,0.75,0.75,1.0,1.0
4,3,3,6,6,12,0.75,0.75,0.75,1.0,1.0
5,2,6,2,3,100,0.75,0.5,1.0,1.0,0.25
6,100,12,12,12,12,0.0,0.75,0.5,0.75,0.5
7,2,3,3,2,2,1.0,0.5,1.0,0.75,1.0
8,2,6,3,6,12,1.0,0.75,1.0,0.75,0.25
9,2,6,2,6,100,0.5,0.5,0.5,0.5,0.5
10,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
11,6,100,6,12,12,0.25,0.25,0.5,0.5,0.5
12,6,100,6,12,6,0.75,0.75,0.75,0.75,0.75
13,2,6,2,2,12,0.75,0.75,0.75,0.75,0.75
14,6,100,3,3,100,0.25,0.75,0.5,1.0,0.75
15,12,2,12,12,6,0.75,0.5,0.75,1.0,0.0
16,2,2,2,2,12,0.5,0.5,0.5,0.5,0.5
17,2,2,2,2,100,1.0,1.0,1.0,1.0,0.25
18,2,100,12,12,100,0.75,0.0,0.5,0.25,0.0
19,2,2,2,2,2,0.75,1.0,1.0,1.0,1.0
20,2,100,2,2,100,0.5,0.75,0.75,1.0,1.0
21,12,12,12,12,12,0.25,0.5,0.25,0.5,0.5
22,100,2,6,2,100,0.0,0.75,0.5,1.0,0.75
23,2,2,2,2,100,1.0,1.0,1.0,1.0,0.5
24,2,2,2,2,100,0.5,0.5,1.0,1.0,1.0
25,12,2,2,2,2,0.5,1.0,0.5,1.0,0.25
26,12,12,12,12,12,0.5,0.5,0.75,0.75,0.5
27,3,3,3,2,12,0.75,0.75,1.0,1.0,0.5
28,100,2,3,2,12,0.0,0.75,0.5,1.0,0.75
29,12,12,3,3,6,0.75,0.5,0.5,0.5,0.75
30,3,6,3,3,100,0.5,0.5,0.75,0.75,0.5
31,2,3,2,3,2,1.0,1.0,1.0,0.75,1.0
32,3,100,12,3,100,0.75,0.5,0.75,0.0,0.0
33,3,100,2,2,100,1.0,0.25,1.0,1.0,0.0
34,12,6,12,6,12,1.0,0.75,1.0,0.75,0.75
35,2,100,2,100,100,0.5,1.0,0.75,1.0,1.0
36,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
37,2,2,2,2,2,1.0,1.0,1.0,0.75,1.0
38,3,100,6,3,100,0.25,0.25,0.75,0.75,0.0
39,6,2,2,3,6,0.5,0.75,1.0,0.75,1.0
40,6,100,12,12,100,0.5,0.25,0.5,0.75,0.25
41,2,2,2,2,12,0.75,0.5,0.75,0.5,0.5
42,2,3,2,2,3,1.0,1.0,0.75,1.0,0.75
43,2,12,12,12,100,0.5,0.5,0.75,0.25,0.0
44,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
45,2,6,6,6,12,1.0,0.75,0.75,0.75,0.75
46,12,6,2,2,3,0.25,1.0,1.0,1.0,1.0
47,2,6,2,3,12,1.0,1.0,1.0,1.0,1.0
48,3,2,2,2,2,1.0,1.0,1.0,1.0,1.0
49,2,2,2,2,12,0.75,0.75,0.75,0.75,0.5
50,12,2,12,12,100,0.0,0.75,0.5,0.75,0.25
51,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0
52,2,6,6,6,3,0.5,0.75,0.75,0.75,0.75
53,12,6,3,100,100,0.75,0.5,0.75,0.5,0.5
54,2,6,2,2,100,1.0,0.5,0.5,0.75,0.75
55,3,6,12,2,100,0.0,0.25,0.5,0.75,1.0
56,2,3,2,2,2,1.0,0.5,1.0,0.75,1.0
57,3,100,12,12,12,0.75,0.0,1.0,0.25,0.25
58,12,12,2,12,12,0.5,0.75,0.5,0.75,0.5
59,2,3,3,3,2,0.75,0.75,0.75,1.0,1.0
60,2,12,2,3,6,1.0,0.5,1.0,0.75,0.75
61,100,2,2,2,2,0.0,1.0,0.5,1.0,1.0
62,100,100,2,2,100,0.25,0.25,0.5,0.75,0.5
63,2,12,2,6,6,0.75,0.5,0.5,0.75,0.75
64,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
65,2,2,2,2,6,1.0,1.0,1.0,1.0,0.5
66,12,2,3,3,2,0.75,1.0,0.5,0.5,1.0
67,2,2,2,2,100,0.25,0.75,0.75,1.0,0.25
68,2,2,2,2,100,0.5,1.0,1.0,0.75,0.75
69,3,12,3,6,12,1.0,0.75,1.0,0.5,0.5
70,2,3,2,2,12,0.5,0.75,0.75,0.75,0.5
71,100,2,2,2,12,0.25,0.5,0.5,0.5,0.5
72,3,2,2,2,3,0.25,0.75,0.5,0.75,0.75
73,2,12,2,2,3,0.75,0.75,0.75,0.75,0.75
74,6,2,2,2,2,0.25,1.0,0.5,0.75,0.75
75,2,12,2,2,12,1.0,1.0,1.0,1.0,1.0
76,6,6,2,2,100,0.0,0.5,1.0,1.0,0.0
77,2,100,2,12,2,0.5,1.0,0.25,1.0,1.0
78,6,3,2,2,100,0.25,0.75,0.75,0.75,0.0
79,6,3,3,6,6,0.5,0.5,0.5,0.5,0.75
80,2,12,2,3,6,0.75,0.75,1.0,0.75,0.75
81,12,100,12,100,100,0.25,0.75,0.25,0.75,0.75
82,2,3,2,2,12,1.0,0.75,1.0,1.0,0.75
83,2,100,2,6,12,1.0,1.0,1.0,1.0,1.0
84,3,2,3,2,12,0.5,0.75,0.5,0.5,0.75
85,12,12,12,12,100,0.75,1.0,0.5,0.5,0.5
86,2,12,2,2,6,0.75,0.75,1.0,1.0,0.5
87,12,12,12,12,12,0.25,0.5,0.5,0.5,0.5
88,12,12,12,6,100,0.25,0.5,0.75,0.75,0.0
89,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
90,12,12,6,12,12,0.5,0.75,0.5,1.0,0.75
91,2,2,2,6,100,0.5,1.0,0.5,0.5,0.5
92,3,6,3,3,6,1.0,0.75,1.0,1.0,1.0
93,6,12,2,3,100,0.5,0.5,0.75,0.75,0.0
94,100,2,2,2,12,0.0,1.0,1.0,1.0,0.5
95,100,12,100,12,100,0.5,0.5,0.25,0.5,0.25
96,6,100,3,100,100,0.25,0.5,0.5,0.5,0.75
97,12,100,2,12,100,0.5,0.5,0.5,0.5,0.75
98,2,3,2,2,6,1.0,0.75,1.0,1.0,0.75
99,2,2,2,2,100,1.0,1.0,1.0,1.0,1.0
100,2,2,2,3,100,0.25,0.5,0.5,0.5,0.25
101,100,12,6,6,100,0.0,0.5,0.5,0.75,0.5
102,3,6,2,2,12,1.0,0.5,1.0,0.75,0.25
103,3,2,2,3,2,1.0,0.5,0.75,1.0,0.5
104,2,100,2,3,100,0.5,0.25,0.75,1.0,0.5
105,6,2,2,3,6,0.75,0.75,0.75,0.75,0.75
106,100,12,6,6,12,0.0,0.5,0.25,0.75,0.5
107,2,2,2,2,2,1.0,1.0,0.75,1.0,0.75
108,100,3,3,3,6,0.0,0.75,0.5,0.75,0.75
109,2,2,2,6,12,0.25,0.75,0.5,0.75,0.25
110,2,12,3,3,6,0.5,0.5,0.75,0.5,0.5
111,12,12,6,3,100,0.0,0.5,0.25,0.75,0.25
112,100,100,100,2,100,0.25,1.0,0.25,1.0,0.25
113,2,3,2,2,2,1.0,1.0,0.75,1.0,0.75
114,3,6,6,3,12,0.75,0.75,0.5,0.5,1.0
115,100,100,3,3,100,0.0,0.25,0.25,0.25,0.25
116,2,3,2,2,3,1.0,1.0,0.75,1.0,1.0
117,2,3,2,2,3,0.75,0.75,1.0,1.0,0.75
118,2,3,3,2,2,0.75,1.0,0.75,1.0,1.0
119,6,6,6,6,12,0.5,0.5,0.75,1.0,0.75
120,100,6,2,2,6,0.25,0.5,0.75,1.0,1.0
121,2,2,2,2,2,0.5,0.5,0.5,0.5,0.25
122,6,12,6,6,12,0.25,0.75,0.5,0.75,0.75
123,2,12,2,6,6,0.25,0.5,0.5,0.25,0.5
124,100,100,2,2,100,0.0,0.5,0.75,0.75,0.5
125,2,100,6,12,100,0.75,0.5,0.75,0.5,0.25
126,3,3,3,2,100,0.5,0.75,0.5,0.75,0.5
127,2,2,2,2,100,0.5,1.0,0.5,1.0,0.5
128,2,2,2,3,12,1.0,0.5,1.0,0.75,0.75
129,2,2,3,2,3,1.0,0.75,1.0,0.75,1.0
130,2,2,2,2,2,0.25,0.75,0.5,1.0,1.0
131,2,2,2,2,3,0.75,0.75,0.5,0.75,0.75
132,2,3,2,2,2,0.75,1.0,0.75,1.0,1.0
133,2,3,3,2,2,1.0,0.75,1.0,0.75,1.0
134,2,2,3,3,6,0.75,0.75,1.0,0.75,1.0
135,2,2,2,2,100,1.0,1.0,1.0,1.0,0.25
136,2,2,2,2,2,0.5,0.75,0.5,1.0,0.5
137,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
138,2,2,2,2,2,0.25,0.5,0.5,0.75,0.75
139,3,6,2,2,100,0.5,0.75,0.75,0.75,0.0
140,100,3,3,2,12,0.0,1.0,0.5,1.0,0.75
141,2,2,2,2,100,0.75,1.0,1.0,1.0,0.25
142,3,6,2,6,100,1.0,0.5,1.0,0.25,0.0
143,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
144,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
145,3,6,3,6,100,0.5,0.5,0.5,0.5,0.25
146,2,2,6,100,100,1.0,1.0,1.0,1.0,0.0
147,3,3,3,6,100,0.5,0.75,0.75,0.75,0.5
148,6,2,2,2,100,0.5,0.75,0.75,1.0,0.5
149,100,100,2,2,100,0.25,0.5,1.0,1.0,1.0
150,2,100,2,3,100,1.0,0.0,0.75,0.25,0.0
151,6,2,3,2,100,0.5,0.75,0.75,1.0,0.0
152,3,3,2,12,12,0.75,0.75,0.75,0.5,0.0
153,12,100,2,2,12,0.0,0.0,0.75,0.5,0.0
154,12,12,12,12,12,0.25,0.25,0.5,0.5,0.5
155,6,2,2,2,6,0.25,0.5,0.5,0.5,0.5
156,2,2,2,2,100,0.75,1.0,1.0,1.0,0.0
157,12,12,2,2,12,0.0,0.5,0.75,0.75,0.75
158,2,2,2,12,2,0.25,0.75,0.5,1.0,0.5
159,2,12,2,2,100,0.5,0.5,0.25,0.5,0.0
160,2,2,2,2,100,0.75,1.0,1.0,1.0,0.25
161,2,2,2,2,12,0.5,0.5,0.75,0.5,0.5
162,100,2,2,2,100,0.0,1.0,1.0,1.0,0.0
163,2,3,2,2,100,1.0,1.0,1.0,1.0,0.0
164,3,2,3,2,12,0.75,0.75,1.0,1.0,0.75
165,6,2,2,2,6,0.5,0.5,0.5,0.5,0.5
166,2,2,2,2,100,0.75,0.75,0.5,0.75,0.75
167,12,100,2,100,100,0.25,0.5,0.75,0.5,0.5
168,12,100,100,100,100,0.5,0.25,0.25,0.5,0.0
169,12,6,6,12,3,0.5,0.75,0.5,1.0,0.75
170,2,6,2,3,100,0.5,0.5,1.0,1.0,1.0
171,6,100,6,6,3,0.75,0.0,0.75,0.5,0.0
172,6,2,6,2,12,0.5,0.75,0.75,0.75,0.5
173,100,100,2,6,100,0.0,0.25,0.75,0.75,0.75
174,6,6,6,3,12,0.5,0.5,0.5,0.5,0.5
175,2,2,2,2,2,0.5,1.0,1.0,1.0,1.0
176,12,12,6,6,2,0.25,0.75,0.5,1.0,1.0
177,6,2,2,2,3,0.5,1.0,0.5,1.0,1.0
178,2,3,2,2,100,0.5,0.5,0.5,0.5,0.25
179,2,100,2,3,100,1.0,1.0,1.0,1.0,1.0
180,6,12,2,3,100,0.75,0.75,1.0,0.75,0.0
181,2,2,2,2,2,0.75,0.75,0.75,0.75,0.75
182,100,2,2,2,2,0.0,0.75,0.5,0.75,0.5
183,2,2,2,2,2,0.5,1.0,1.0,1.0,1.0
184,2,2,3,2,12,0.25,0.25,0.5,1.0,0.5
185,100,2,6,6,100,0.5,1.0,0.75,0.5,0.75
186,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
187,6,100,6,12,100,0.0,0.0,0.0,0.0,0.0
188,3,2,2,2,12,0.75,0.75,1.0,0.5,0.25
189,2,6,2,3,12,0.0,0.75,0.5,0.75,0.75
190,2,3,2,100,100,1.0,0.25,1.0,0.75,0.25
191,100,12,3,3,12,0.75,0.5,0.25,1.0,0.5
192,12,12,3,2,100,0.5,0.25,0.5,0.25,0.0
